Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Country,Action
ASH,Marathon Petroleum Corp,Common stocks,Large cap,Energy,"$35,673,837,795 ",4.20%,USA,Analyze
SRPT,Pioneer Natural Resource,Common stocks,Large cap,Energy,"$35,290,154,907 ",1.14%,USA,Analyze
EVBG,Hilton Worldwide Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$35,281,866,566 ",0.00%,USA,Analyze
GTES,Corning Inc,Common stocks,Large cap,Information Technology,"$34,956,711,522 ",2.22%,USA,Analyze
PPC,Autozone Inc,Common stocks,Large cap,Consumer Discretionary,"$34,949,034,904 ",0.00%,USA,Analyze
IONS,Cummins Inc,Common stocks,Large cap,Industrials,"$34,657,766,682 ",2.25%,USA,Analyze
IDA,Las Vegas Sands Corp,Common stocks,Large cap,Consumer Discretionary,"$34,646,935,253 ",0.00%,USA,Analyze
NVT,Rockwell Automation Inc,Common stocks,Large cap,Industrials,"$34,568,800,538 ",1.41%,USA,Analyze
SLG,Copart Inc,Common stocks,Large cap,Industrials,"$34,528,631,783 ",0.00%,USA,Analyze
VRM,Mettler Toledo Inc,Common stocks,Large cap,Health Care,"$34,242,349,167 ",0.00%,USA,Analyze
NYCB,HP Inc,Common stocks,Large cap,Information Technology,"$34,211,756,583 ",2.63%,USA,Analyze
DRVN,Brown Forman Inc Class B,Common stocks,Large cap,Consumer Staples,"$33,866,321,623 ",0.98%,USA,Analyze
FSLY,Brown Forman Inc Class A,Common stocks,Large cap,Consumer Staples,"$33,866,321,623 ",1.05%,USA,Analyze
EXEL,First Republic Bank,Common stocks,Large cap,Financials,"$33,740,321,580 ",0.42%,USA,Analyze
RYN,Xilinx Inc,Common stocks,Large cap,Information Technology,"$33,301,545,530 ",0.56%,USA,Analyze
ADPT,Zimmer Biomet Holdings Inc,Common stocks,Large cap,Health Care,"$33,284,167,425 ",0.60%,USA,Analyze
AI,Stanley Black & Decker Inc,Common stocks,Large cap,Industrials,"$33,264,692,107 ",1.35%,USA,Analyze
JWN,D R Horton Inc,Common stocks,Large cap,Consumer Discretionary,"$33,139,181,089 ",0.84%,USA,Analyze
JBLU,Liberty Broadband Corp Series A,Common stocks,Large cap,Communication Services,"$32,987,145,120 ",0.00%,USA,Analyze
WEN,Liberty Broadband Corp Series C,Common stocks,Large cap,Communication Services,"$32,987,145,120 ",0.00%,USA,Analyze
SAIC,"Peloton Interactive, Inc. Class A",Common stocks,Large cap,Consumer Discretionary,"$32,969,558,330 ",0.00%,USA,Analyze
CLH,Lyondellbasell Industries NV,Common stocks,Large cap,Materials,"$32,950,582,955 ",4.29%,USA,Analyze
AWI,VF Corp,Common stocks,Large cap,Consumer Discretionary,"$32,663,654,649 ",2.32%,USA,Analyze
FLO,Archer-Daniels-Midland Company,Common stocks,Large cap,Consumer Staples,"$32,650,551,308 ",2.48%,USA,Analyze
OZK,Phillips 66,Common stocks,Large cap,Energy,"$32,542,279,453 ",4.76%,USA,Analyze
HXL,Zscaler Inc,Common stocks,Large cap,Information Technology,"$32,126,196,165 ",0.00%,USA,Analyze
HHC,Mckesson Corp,Common stocks,Large cap,Health Care,"$32,032,721,093 ",0.83%,USA,Analyze
LAZ,Skyworks Solutions Inc,Common stocks,Large cap,Information Technology,"$31,828,189,244 ",1.03%,USA,Analyze
GPK,Ametek Inc,Common stocks,Large cap,Industrials,"$31,693,656,906 ",0.55%,USA,Analyze
ADS,Ansys Inc,Common stocks,Large cap,Information Technology,"$31,657,808,892 ",0.00%,USA,Analyze
QRTEA,Equity Residential,REITs,Large cap,Real Estate,"$31,599,714,472 ",2.82%,USA,Analyze
DSEY,"AvalonBay Communities, Inc",REITs,Large cap,Real Estate,"$31,578,568,889 ",2.78%,USA,Analyze
ALGM,Fastenal,Common stocks,Large cap,Industrials,"$31,237,086,010 ",1.99%,USA,Analyze
FEYE,Epam Systems Inc,Common stocks,Large cap,Information Technology,"$31,230,754,887 ",0.00%,USA,Analyze
HIW,"Corteva, Inc.",Common stocks,Large cap,Materials,"$31,216,227,350 ",1.22%,USA,Analyze
TNL,Public Service Enterprise Group Inc,Common stocks,Large cap,Utilities,"$31,112,275,904 ",3.21%,USA,Analyze
VMI,Williams Inc,Common stocks,Large cap,Energy,"$31,085,768,588 ",6.18%,USA,Analyze
CRUS,Equifax Inc,Common stocks,Large cap,Industrials,"$31,081,907,735 ",0.61%,USA,Analyze
LESL,Lennar Corporation Class B,Common stocks,Large cap,Consumer Discretionary,"$31,048,185,363 ",0.90%,USA,Analyze
AYX,Lennar Corporation Class A,Common stocks,Large cap,Consumer Discretionary,"$31,048,185,363 ",0.98%,USA,Analyze
TRIP,SVB Financial Group,Common stocks,Large cap,Financials,"$30,685,881,494 ",0.00%,USA,Analyze
CW,Southwest Airlines,Common stocks,Large cap,Industrials,"$30,617,199,385 ",0.00%,USA,Analyze
PACW,Nasdaq Inc,Common stocks,Large cap,Financials,"$30,616,534,071 ",1.07%,USA,Analyze
MRVI,Verisk Analytics Inc,Common stocks,Large cap,Industrials,"$30,281,879,105 ",0.60%,USA,Analyze
THG,Paccar Inc,Common stocks,Large cap,Industrials,"$30,171,362,463 ",1.48%,USA,Analyze
WOOF,American Water Works Inc,Common stocks,Large cap,Utilities,"$30,156,550,991 ",1.35%,USA,Analyze
AL,Old Dominion Freight Line Inc,Common stocks,Large cap,Industrials,"$30,009,335,491 ",0.27%,USA,Analyze
FCN,CBRE Group Inc,Common stocks,Large cap,Real Estate,"$29,940,639,188 ",0.00%,USA,Analyze
HE,Keysight Technologies Inc,Common stocks,Large cap,Information Technology,"$29,755,389,231 ",0.00%,USA,Analyze
HFC,Kroger,Common stocks,Large cap,Consumer Staples,"$29,732,603,163 ",1.80%,USA,Analyze
NFG,WEC Energy Group Inc,Common stocks,Large cap,Utilities,"$29,701,315,439 ",2.75%,USA,Analyze
MTG,State Street Corp,Common stocks,Large cap,Financials,"$29,596,228,302 ",2.39%,USA,Analyze
GRA,Eversource Energy,Common stocks,Large cap,Utilities,"$29,476,266,023 ",2.70%,USA,Analyze
SPR,Garmin Ltd,Common stocks,Large cap,Consumer Discretionary,"$29,453,854,165 ",1.62%,USA,Analyze
SEB,Nucor Corp,Common stocks,Large cap,Materials,"$29,253,893,423 ",1.64%,USA,Analyze
NEWR,Zebra Technologies Corp,Common stocks,Large cap,Information Technology,"$29,180,222,464 ",0.00%,USA,Analyze
SGFY,Ameriprise Finance Inc,Common stocks,Large cap,Financials,"$29,109,510,361 ",1.68%,USA,Analyze
XRX,"Alexandria Real Estate Equities, Inc",REITs,Large cap,Real Estate,"$28,937,786,915 ",2.20%,USA,Analyze
PK,Arthur J Gallagher,Common stocks,Large cap,Financials,"$28,918,549,336 ",1.32%,USA,Analyze
NRZ,Unity Software Inc.,Common stocks,Large cap,Information Technology,"$28,869,399,362 ",0.00%,USA,Analyze
MCFE,Arista Networks Inc,Common stocks,Large cap,Information Technology,"$28,782,523,878 ",0.00%,USA,Analyze
HRB,Best Buy Inc,Common stocks,Large cap,Consumer Discretionary,"$28,761,813,786 ",2.16%,USA,Analyze
KMPR,Generac Holdings Inc,Common stocks,Large cap,Industrials,"$27,992,735,766 ",0.00%,USA,Analyze
CRI,Hubspot Inc,Common stocks,Large cap,Information Technology,"$27,924,258,253 ",0.00%,USA,Analyze
SLGN,West Pharmaceutical Services Inc,Common stocks,Large cap,Health Care,"$27,869,185,365 ",0.22%,USA,Analyze
ALSN,Liberty Media Liberty Siriusxm Series A,Common stocks,Large cap,Communication Services,"$27,575,752,274 ",9.71%,USA,Analyze
WBS,Liberty Media Liberty Siriusxm Series C,Common stocks,Large cap,Communication Services,"$27,575,752,274 ",9.84%,USA,Analyze
JBGS,Liberty Media Formula One Corp Series C,Common stocks,Large cap,Communication Services,"$27,575,752,274 ",0.00%,USA,Analyze
PINC,Liberty Media Formula One Corp Series A,Common stocks,Large cap,Communication Services,"$27,575,752,274 ",0.00%,USA,Analyze
AXS,Realty Income Corporation,REITs,Large cap,Real Estate,"$27,512,784,711 ",3.90%,USA,Analyze
MSP,Laboratory Corporation Of America,Common stocks,Large cap,Health Care,"$27,463,470,000 ",0.00%,USA,Analyze
FTDR,ViacomCBS Inc. - Class A,Common stocks,Large cap,Communication Services,"$27,413,427,425 ",2.06%,USA,Analyze
COMM,ViacomCBS Inc. - Class B,Common stocks,Large cap,Communication Services,"$27,413,427,425 ",2.26%,USA,Analyze
LOPE,Yum China Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"$27,124,409,325 ",0.19%,China,Analyze
STL,Synchrony Financial,Common stocks,Large cap,Financials,"$26,855,616,328 ",1.85%,USA,Analyze
ICUI,Valero Energy Corp,Common stocks,Large cap,Energy,"$26,790,141,214 ",5.85%,USA,Analyze
HPP,Delta Air Lines Inc,Common stocks,Large cap,Industrials,"$26,665,252,966 ",0.72%,USA,Analyze
UMPQ,Ball Corp,Common stocks,Large cap,Materials,"$26,644,419,470 ",0.74%,USA,Analyze
MSM,Maxim Integrated Products Inc,Common stocks,Large cap,Information Technology,"$26,627,041,750 ",0.48%,USA,Analyze
UNVR,Willis Towers Watson PLC,Common stocks,Large cap,Financials,"$26,578,239,285 ",1.36%,USA,Analyze
CERT,Zillow Group Inc Class C,Common stocks,Large cap,Communication Services,"$26,330,754,351 ",0.00%,USA,Analyze
DTM,Zillow Group Inc Class A,Common stocks,Large cap,Communication Services,"$26,330,754,351 ",0.00%,USA,Analyze
WTFC,Etsy Inc,Common stocks,Large cap,Consumer Discretionary,"$26,189,490,318 ",0.00%,USA,Analyze
AVT,Sirius Xm Holdings Inc,Common stocks,Large cap,Communication Services,"$26,099,087,456 ",0.89%,USA,Analyze
WRI,Weyerhaeuser Company,REITs,Large cap,Real Estate,"$25,967,791,900 ",1.46%,USA,Analyze
HAIN,Seattle Genetics Inc,Common stocks,Large cap,Health Care,"$25,954,851,410 ",0.00%,USA,Analyze
EPR,Tyson Foods Inc Class A,Common stocks,Large cap,Consumer Staples,"$25,944,690,000 ",2.44%,USA,Analyze
R,"Datadog, Inc. - Class A",Common stocks,Large cap,Information Technology,"$25,683,922,699 ",0.00%,USA,Analyze
SABR,Hormel Foods Corp,Common stocks,Large cap,Consumer Staples,"$25,618,460,058 ",2.03%,USA,Analyze
FOUR,Carnival Corp,Common stocks,Large cap,Consumer Discretionary,"$25,568,408,771 ",0.00%,USA,Analyze
JAMF,Fifth Third Bancorp,Common stocks,Large cap,Financials,"$25,568,049,224 ",2.94%,USA,Analyze
SPB,CDW Corp,Common stocks,Large cap,Information Technology,"$25,458,158,975 ",0.87%,USA,Analyze
MRCY,Consolidated Edison Inc,Common stocks,Large cap,Utilities,"$25,366,194,476 ",4.12%,USA,Analyze
FHB,Occidental Petroleum Corp,Common stocks,Large cap,Energy,"$25,314,314,737 ",0.15%,USA,Analyze
FNB,Verisign Inc,Common stocks,Large cap,Information Technology,"$24,943,524,251 ",0.00%,USA,Analyze
BHF,AmerisourceBergen Corp,Common stocks,Large cap,Health Care,"$24,811,560,506 ",1.43%,USA,Analyze
SIX,Kansas City Southern,Common stocks,Large cap,Industrials,"$24,324,860,800 ",0.72%,USA,Analyze
VSAT,Oneok Inc,Common stocks,Large cap,Energy,"$23,983,233,671 ",6.73%,USA,Analyze
KEX,Enphase Energy Inc,Common stocks,Large cap,Information Technology,"$23,975,279,709 ",0.00%,USA,Analyze
AGO,W.W. Grainger Inc,Common stocks,Large cap,Industrials,"$23,799,745,424 ",1.35%,USA,Analyze
CSGP,United Rentals Inc,Common stocks,Large cap,Industrials,"$23,733,516,543 ",0.00%,USA,Analyze
SWI,Cerner Corp,Common stocks,Large cap,Health Care,"$23,590,113,254 ",1.07%,USA,Analyze
TTD,Waters Corp,Common stocks,Large cap,Health Care,"$23,588,717,390 ",0.00%,USA,Analyze
WTM,Paycom Software Inc,Common stocks,Large cap,Information Technology,"$23,550,316,166 ",0.00%,USA,Analyze
IOVA,Dover Corp,Common stocks,Large cap,Industrials,"$23,452,675,595 ",1.21%,USA,Analyze
MCY,Northern Trust Corporation,Common stocks,Large cap,Financials,"$23,415,776,888 ",1.85%,USA,Analyze
BOH,Hess Corp,Common stocks,Large cap,Energy,"$23,393,761,521 ",1.31%,USA,Analyze
NEU,Fortive Corp,Common stocks,Large cap,Industrials,"$23,348,106,149 ",0.39%,USA,Analyze
MSGS,Vulcan Materials,Common stocks,Large cap,Materials,"$23,347,756,820 ",0.80%,USA,Analyze
H,Dollar Tree Inc,Common stocks,Large cap,Consumer Discretionary,"$23,332,239,984 ",0.00%,USA,Analyze
GO,Splunk Inc,Common stocks,Large cap,Information Technology,"$23,213,978,648 ",0.00%,USA,Analyze
VIRT,Teladoc Inc,Common stocks,Large cap,Health Care,"$23,140,235,106 ",0.00%,USA,Analyze
NKTR,Expedia Inc,Common stocks,Large cap,Consumer Discretionary,"$23,013,452,281 ",0.00%,USA,Analyze
SWCH,Clorox,Common stocks,Large cap,Consumer Staples,"$22,941,665,576 ",2.37%,USA,Analyze
SAGE,International Paper,Common stocks,Large cap,Materials,"$22,893,243,757 ",3.46%,USA,Analyze
SHLS,Invitation Homes Inc,REITs,Large cap,Real Estate,"$22,847,929,969 ",1.58%,USA,Analyze
RKT,Extra Space Storage Inc,REITs,Large cap,Real Estate,"$22,835,471,830 ",2.20%,USA,Analyze
CPA,McCormick & Co  Non-voting,Common stocks,Large cap,Consumer Staples,"$22,773,493,463 ",1.55%,USA,Analyze
WWE,Albemarle Corp,Common stocks,Large cap,Materials,"$22,742,080,578 ",0.79%,USA,Analyze
NABL,Gartner Inc,Common stocks,Large cap,Information Technology,"$22,655,342,433 ",0.00%,USA,Analyze
SNDR,Dish Network Corp Class A,Common stocks,Large cap,Communication Services,"$22,459,900,758 ",0.00%,USA,Analyze
PSFE,DTE Energy,Common stocks,Large cap,Utilities,"$22,449,126,593 ",3.09%,USA,Analyze
GOCO,"Ventas, Inc",REITs,Large cap,Real Estate,"$22,414,652,463 ",2.98%,USA,Analyze
UWMC,Horizon Pharma Plc,Common stocks,Large cap,Health Care,"$22,393,690,736 ",0.00%,USA,Analyze
BPYU,Xylem Inc,Common stocks,Large cap,Industrials,"$22,339,560,487 ",0.87%,USA,Analyze
ARD,TransUnion,Common stocks,Large cap,Industrials,"$22,292,189,000 ",0.27%,USA,Analyze
AMZN,"MongoDB, Inc. Class A",Common stocks,Large cap,Information Technology,"$22,256,716,035 ",0.00%,USA,Analyze
GOOG,Hartford Financial Services Group,Common stocks,Large cap,Financials,"$22,120,839,497 ",2.16%,USA,Analyze
GOOGL,Wayfair Inc Class A,Common stocks,Large cap,Consumer Discretionary,"$22,051,555,608 ",0.00%,USA,Analyze
FB,Carmax Inc,Common stocks,Large cap,Consumer Discretionary,"$22,010,896,850 ",0.00%,USA,Analyze
BRK.B,Martin Marietta Materials Inc,Common stocks,Large cap,Materials,"$21,995,017,332 ",0.64%,USA,Analyze
TSLA,Burlington Stores Inc,Common stocks,Large cap,Consumer Discretionary,"$21,953,476,157 ",0.00%,USA,Analyze
V,Ringcentral Inc Class A,Common stocks,Large cap,Information Technology,"$21,923,829,168 ",0.00%,USA,Analyze
JPM,Expeditors International Of Washington,Common stocks,Large cap,Industrials,"$21,887,601,235 ",0.85%,USA,Analyze
JNJ,PPL Corporation,Common stocks,Large cap,Utilities,"$21,828,668,927 ",5.73%,USA,Analyze
WMT,Tractor Supply,Common stocks,Large cap,Consumer Discretionary,"$21,676,191,030 ",0.97%,USA,Analyze
UNH,Cheniere Energy Inc,Common stocks,Large cap,Energy,"$21,636,875,828 ",0.00%,USA,Analyze
MA,"Cooper Companies, Inc.",Common stocks,Large cap,Health Care,"$21,635,480,766 ",0.01%,USA,Analyze
PYPL,Baker Hughes Company Class A,Common stocks,Large cap,Energy,"$21,626,163,600 ",3.40%,USA,Analyze
HD,Kellogg,Common stocks,Large cap,Consumer Staples,"$21,536,393,252 ",3.57%,USA,Analyze
PG,"Essex Property Trust, Inc",REITs,Large cap,Real Estate,"$21,522,439,079 ",2.49%,USA,Analyze
BAC,"Avantor, Inc.",Common stocks,Large cap,Health Care,"$21,463,436,282 ",0.00%,USA,Analyze
DIS,"Mid-America Apartment Communities, Inc",REITs,Large cap,Real Estate,"$21,386,131,251 ",2.16%,USA,Analyze
ADBE,Fleetcor Technologies Inc,Common stocks,Large cap,Information Technology,"$21,383,329,618 ",0.00%,USA,Analyze
CMCSA,"Qorvo, Inc.",Common stocks,Large cap,Information Technology,"$21,362,359,104 ",0.00%,USA,Analyze
NKE,L Brands Inc,Common stocks,Large cap,Consumer Discretionary,"$21,282,026,556 ",0.19%,USA,Analyze
XOM,Ameren Corp,Common stocks,Large cap,Utilities,"$21,274,755,532 ",2.51%,USA,Analyze
KO,Church And Dwight Inc,Common stocks,Large cap,Consumer Staples,"$21,199,055,769 ",1.13%,USA,Analyze
ORCL,Teradyne Inc,Common stocks,Large cap,Information Technology,"$21,187,317,285 ",0.31%,USA,Analyze
PFE,"Sun Communities, Inc",REITs,Large cap,Real Estate,"$21,147,913,732 ",1.70%,USA,Analyze
CSCO,Firstenergy Corp,Common stocks,Large cap,Utilities,"$21,092,945,370 ",3.96%,USA,Analyze
LLY,Edison International,Common stocks,Large cap,Utilities,"$21,055,017,561 ",4.65%,USA,Analyze
VZ,Alnylam Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"$20,935,947,074 ",0.00%,USA,Analyze
CRM,Trimble Inc,Common stocks,Large cap,Information Technology,"$20,887,823,026 ",0.00%,USA,Analyze
NFLX,Entergy Corp,Common stocks,Large cap,Utilities,"$20,866,881,354 ",3.59%,USA,Analyze
INTC,Fox Corporation Class B,Common stocks,Large cap,Communication Services,"$20,745,365,790 ",1.34%,USA,Analyze
PEP,Fox Corporation Class A,Common stocks,Large cap,Communication Services,"$20,745,365,790 ",1.25%,USA,Analyze
ACN,Royal Caribbean Cruises Ltd,Common stocks,Large cap,Consumer Discretionary,"$20,589,674,738 ",0.00%,USA,Analyze
ABT,Ingersoll Rand Plc,Common stocks,Large cap,Industrials,"$20,490,269,329 ",4.34%,USA,Analyze
ABBV,Bio Rad Laboratories Inc Class A,Common stocks,Large cap,Health Care,"$20,352,460,585 ",0.00%,USA,Analyze
TMO,Tyler Technologies Inc,Common stocks,Large cap,Information Technology,"$20,140,806,882 ",0.00%,USA,Analyze
DHR,Broadridge Financial Solutions Inc,Common stocks,Large cap,Information Technology,"$20,016,584,841 ",1.33%,USA,Analyze
T,Take Two Interactive Software Inc,Common stocks,Large cap,Communication Services,"$19,996,938,480 ",0.00%,USA,Analyze
AVGO,Charles River Laboratories International,Common stocks,Large cap,Health Care,"$19,762,924,162 ",0.00%,USA,Analyze
MRK,DraftKings Inc. - Class A,Common stocks,Large cap,Consumer Discretionary,"$19,736,279,258 ",0.00%,USA,Analyze
CVX,Western Digital Corp,Common stocks,Large cap,Information Technology,"$19,695,726,983 ",0.00%,USA,Analyze
COST,Dominos Pizza Inc,Common stocks,Large cap,Consumer Discretionary,"$19,691,942,022 ",0.64%,USA,Analyze
WFC,"Healthpeak Properties, Inc.",REITs,Large cap,Real Estate,"$19,611,800,218 ",3.62%,USA,Analyze
MCD,Caesars Entertainment Corp,Common stocks,Large cap,Consumer Discretionary,"$19,461,146,595 ",0.00%,USA,Analyze
UPS,Exact Sciences Corp,Common stocks,Large cap,Health Care,"$19,457,274,723 ",0.00%,USA,Analyze
TMUS,Akamai Technologies Inc,Common stocks,Large cap,Information Technology,"$19,431,868,686 ",0.00%,USA,Analyze
MS,Perkinelmer Inc,Common stocks,Large cap,Health Care,"$19,292,012,129 ",0.16%,USA,Analyze
TXN,"Bill.com Holdings, Inc.",Common stocks,Large cap,Information Technology,"$19,290,075,341 ",0.00%,USA,Analyze
MDT,"SS&C Technologies Holdings, Inc.",Common stocks,Large cap,Information Technology,"$19,287,810,786 ",0.79%,USA,Analyze
QCOM,Ubiquiti Inc.,Common stocks,Large cap,Information Technology,"$19,280,795,976 ",0.52%,USA,Analyze
HON,Darden Restaurants Inc,Common stocks,Large cap,Consumer Discretionary,"$19,267,887,234 ",1.80%,USA,Analyze
PM,Catalent Inc,Common stocks,Large cap,Health Care,"$19,248,595,489 ",0.00%,USA,Analyze
BMY,Ally Financial Inc,Common stocks,Large cap,Financials,"$19,245,735,350 ",1.45%,USA,Analyze
NEE,MGM Resorts International,Common stocks,Large cap,Consumer Discretionary,"$19,224,094,318 ",0.03%,USA,Analyze
SBUX,Duke Realty Corporation,REITs,Large cap,Real Estate,"$19,086,750,243 ",1.95%,USA,Analyze
INTU,Novocure Ltd,Common stocks,Large cap,Health Care,"$19,016,684,058 ",0.00%,USA,Analyze
UNP,Monolithic Power Systems Inc,Common stocks,Large cap,Information Technology,"$18,893,656,760 ",0.53%,USA,Analyze
AMGN,Ulta Beauty Inc,Common stocks,Large cap,Consumer Discretionary,"$18,851,383,804 ",0.00%,USA,Analyze
C,Hewlett Packard Enterprise,Common stocks,Large cap,Information Technology,"$18,844,534,417 ",3.29%,USA,Analyze
LOW,Citizens Financial Group Inc,Common stocks,Large cap,Financials,"$18,830,372,329 ",3.48%,USA,Analyze
CHTR,Cincinnati Financial Corp,Common stocks,Large cap,Financials,"$18,811,253,719 ",2.09%,USA,Analyze
AXP,Keycorp,Common stocks,Large cap,Financials,"$18,779,551,125 ",3.77%,USA,Analyze
MRNA,Pool Corp,Common stocks,Large cap,Consumer Discretionary,"$18,739,762,280 ",0.54%,USA,Analyze
BLK,Regions Financial Corp,Common stocks,Large cap,Financials,"$18,591,259,559 ",3.17%,USA,Analyze
BA,Teleflex Inc,Common stocks,Large cap,Health Care,"$18,585,117,123 ",0.34%,USA,Analyze
RTX,Genuine Parts,Common stocks,Large cap,Consumer Discretionary,"$18,432,880,746 ",2.47%,USA,Analyze
TGT,Halliburton,Common stocks,Large cap,Energy,"$18,424,431,800 ",0.87%,USA,Analyze
SCHW,Rollins Inc,Common stocks,Large cap,Industrials,"$18,372,138,360 ",0.71%,USA,Analyze
GS,Bio-Techne Corp,Common stocks,Large cap,Health Care,"$18,361,920,852 ",0.27%,USA,Analyze
IBM,Hologic Inc,Common stocks,Large cap,Health Care,"$18,328,348,421 ",0.00%,USA,Analyze
AMT,"NVR, Inc.",Common stocks,Large cap,Consumer Discretionary,"$18,304,426,995 ",0.00%,USA,Analyze
AMAT,STERIS PLC,Common stocks,Large cap,Health Care,"$18,073,417,544 ",0.75%,USA,Analyze
EL,Devon Energy Corp,Common stocks,Large cap,Energy,"$18,039,385,000 ",1.64%,USA,Analyze
NVDA,"Boston Properties, Inc",REITs,Large cap,Real Estate,"$18,007,847,196 ",3.35%,USA,Analyze
MMM,Live Nation Entertainment Inc,Common stocks,Large cap,Communication Services,"$17,971,388,088 ",0.00%,USA,Analyze
CAT,Amcor plc,Common stocks,Large cap,Materials,"$17,947,123,176 ",4.01%,United Kingdom,Analyze
NOW,CMS Energy Corp,Common stocks,Large cap,Utilities,"$17,940,703,529 ",2.69%,USA,Analyze
ISRG,Raymond James Inc,Common stocks,Large cap,Financials,"$17,864,353,780 ",1.18%,USA,Analyze
GE,Zendesk Inc,Common stocks,Large cap,Information Technology,"$17,816,446,310 ",0.00%,USA,Analyze
AMD,"Dynatrace, Inc.",Common stocks,Large cap,Information Technology,"$17,757,948,512 ",0.00%,USA,Analyze
SQ,Marketaxess Holdings Inc,Common stocks,Large cap,Financials,"$17,736,018,963 ",0.54%,USA,Analyze
DE,PTC Inc,Common stocks,Large cap,Information Technology,"$17,682,469,244 ",0.00%,USA,Analyze
CVS,VMWare Inc Class A,Common stocks,Large cap,Information Technology,"$17,583,019,738 ",17.59%,USA,Analyze
ZM,NetApp Inc,Common stocks,Large cap,Information Technology,"$17,533,726,299 ",2.46%,USA,Analyze
LMT,JB Hunt Transport Services Inc,Common stocks,Large cap,Industrials,"$17,493,835,043 ",0.67%,USA,Analyze
SPGI,Insulet Corp,Common stocks,Large cap,Health Care,"$17,473,738,378 ",0.00%,USA,Analyze
SYK,"Lyft, Inc. - Class A",Common stocks,Large cap,Industrials,"$17,435,775,268 ",0.00%,USA,Analyze
ZTS,Heico Corp,Common stocks,Large cap,Industrials,"$17,397,471,162 ",0.13%,USA,Analyze
PLD,Heico Corporation Class A,Common stocks,Large cap,Industrials,"$17,397,471,162 ",0.14%,USA,Analyze
ANTM,Pacific Gas & Electric Co.,Common stocks,Large cap,Utilities,"$17,369,674,901 ",0.00%,USA,Analyze
FIS,Jacobs Engineering Group Inc.,Common stocks,Large cap,Industrials,"$17,359,014,041 ",0.46%,USA,Analyze
BKNG,IDEX Corp,Common stocks,Large cap,Industrials,"$17,170,284,266 ",0.92%,USA,Analyze
LRCX,Cardinal Health Inc,Common stocks,Large cap,Health Care,"$17,112,924,734 ",3.26%,USA,Analyze
MDLZ,Wix.Com Ltd,Common stocks,Large cap,Information Technology,"$17,072,218,140 ",0.00%,Israel,Analyze
MO,Celanese Corporation,Common stocks,Large cap,Materials,"$17,062,887,274 ",1.72%,USA,Analyze
ADP,Avery Dennison Corp,Common stocks,Large cap,Materials,"$17,041,486,764 ",0.91%,USA,Analyze
UBER,Principal Financial Group Inc,Common stocks,Large cap,Financials,"$17,038,858,678 ",3.60%,USA,Analyze
GILD,M&T Bank Corp,Common stocks,Large cap,Financials,"$17,014,452,090 ",3.29%,USA,Analyze
MU,Incyte Corp,Common stocks,Large cap,Health Care,"$17,002,284,007 ",0.00%,USA,Analyze
USB,VICI Properties Inc,REITs,Large cap,Real Estate,"$16,943,721,131 ",4.11%,USA,Analyze
CCI,Elanco Animal Health Incorporated,Common stocks,Large cap,Health Care,"$16,937,985,435 ",0.00%,USA,Analyze
TJX,Quest Diagnostics Inc,Common stocks,Large cap,Health Care,"$16,907,373,430 ",1.70%,USA,Analyze
HCA,Viatris Inc.,Common stocks,Large cap,Health Care,"$16,727,792,162 ",0.79%,USA,Analyze
GM,Markel Corp,Common stocks,Large cap,Financials,"$16,696,621,745 ",0.00%,USA,Analyze
DUK,Carlyle Group,Common stocks,Large cap,Financials,"$16,633,001,229 ",1.58%,USA,Analyze
FDX,Coupa Software Inc,Common stocks,Large cap,Information Technology,"$16,567,461,032 ",0.00%,USA,Analyze
PNC,Teledyne Technologies Inc,Common stocks,Large cap,Industrials,"$16,494,718,444 ",0.00%,USA,Analyze
CI,Conagra Brands Inc,Common stocks,Large cap,Consumer Staples,"$16,451,169,850 ",3.00%,USA,Analyze
BX,"UDR, Inc",REITs,Large cap,Real Estate,"$16,347,365,612 ",2.59%,USA,Analyze
COP,"Bentley Systems, Inc Class B",Common stocks,Large cap,Information Technology,"$16,206,751,428 ",0.15%,USA,Analyze
SNOW,"PPD, Inc.",Common stocks,Large cap,Health Care,"$16,144,922,496 ",0.00%,USA,Analyze
SHW,"Altice USA, Inc. Class A",Common stocks,Large cap,Communication Services,"$16,107,304,983 ",0.00%,USA,Analyze
CB,Entegris Inc,Common stocks,Large cap,Information Technology,"$16,081,257,731 ",0.27%,USA,Analyze
CME,Avangrid Inc,Common stocks,Large cap,Utilities,"$16,040,829,004 ",3.35%,USA,Analyze
MMC,United Continental Holdings Inc,Common stocks,Large cap,Industrials,"$16,005,892,105 ",0.00%,USA,Analyze
EQIX,AES Corp,Common stocks,Large cap,Utilities,"$15,990,176,016 ",2.43%,USA,Analyze
FISV,XPO Logistics Inc,Common stocks,Large cap,Industrials,"$15,822,453,147 ",0.00%,USA,Analyze
CSX,Nuance Communications Inc,Common stocks,Large cap,Information Technology,"$15,774,000,375 ",0.00%,USA,Analyze
TFC,Carvana Class A,Common stocks,Large cap,Consumer Discretionary,"$15,754,752,000 ",0.00%,USA,Analyze
COF,Omnicom Group Inc,Common stocks,Large cap,Communication Services,"$15,709,652,838 ",3.64%,USA,Analyze
